Question,Response,processed_question,processed_response,question_seq,response_seq,padded_question,padded_response
bluedog is just the street you have to give me the city state and zip code,oh i get it my email address is bluedogyahoocom,"['blue', '##dog', 'is', 'just', 'the', 'street', 'you', 'have', 'to', 'give', 'me', 'the', 'city', 'state', 'and', 'zip', 'code']","['oh', 'i', 'get', 'it', 'my', 'email', 'address', 'is', 'blue', '##dog', '##yah', '##oo', '##com']","[894, 895, 35, 188, 78, 900, 4, 19, 29, 497, 100, 78, 594, 901, 94, 902, 903]","[230, 6, 108, 33, 69, 892, 893, 35, 894, 895, 2135, 2136, 2137]","[894, 895, 35, 188, 78, 900, 4, 19, 29, 497, 100, 78, 594, 901, 94, 902, 903, 0, 0, 0]","[230, 6, 108, 33, 69, 892, 893, 35, 894, 895, 2135, 2136, 2137, 0, 0, 0, 0, 0, 0, 0]"
i am going to take a nap,you should unplug the phone,"['i', 'am', 'going', 'to', 'take', 'a', 'nap']","['you', 'should', 'un', '##pl', '##ug', 'the', 'phone']","[6, 7, 43, 29, 196, 37, 904]","[4, 81, 809, 905, 906, 78, 243]","[6, 7, 43, 29, 196, 37, 904, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[4, 81, 809, 905, 906, 78, 243, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
you should unplug the phone,that is a good idea,"['you', 'should', 'un', '##pl', '##ug', 'the', 'phone']","['that', 'is', 'a', 'good', 'idea']","[4, 81, 809, 905, 906, 78, 243]","[58, 35, 37, 12, 340]","[4, 81, 809, 905, 906, 78, 243, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[58, 35, 37, 12, 340, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
that is a good idea,do you want me to wake you in an hour,"['that', 'is', 'a', 'good', 'idea']","['do', 'you', 'want', 'me', 'to', 'wake', 'you', 'in', 'an', 'hour']","[58, 35, 37, 12, 340]","[27, 4, 126, 100, 29, 907, 4, 23, 71, 908]","[58, 35, 37, 12, 340, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[27, 4, 126, 100, 29, 907, 4, 23, 71, 908, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
do you want me to wake you in an hour,no thanks just let me sleep until i wake up,"['do', 'you', 'want', 'me', 'to', 'wake', 'you', 'in', 'an', 'hour']","['no', 'thanks', 'just', 'let', 'me', 'sleep', 'until', 'i', 'wake', 'up']","[27, 4, 126, 100, 29, 907, 4, 23, 71, 908]","[16, 13, 188, 239, 100, 909, 104, 6, 907, 227]","[27, 4, 126, 100, 29, 907, 4, 23, 71, 908, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[16, 13, 188, 239, 100, 909, 104, 6, 907, 227, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
no thanks just let me sleep until i wake up,i will start dinner at,"['no', 'thanks', 'just', 'let', 'me', 'sleep', 'until', 'i', 'wake', 'up']","['i', 'will', 'start', 'dinner', 'at']","[16, 13, 188, 239, 100, 909, 104, 6, 907, 227]","[6, 158, 542, 563, 171]","[16, 13, 188, 239, 100, 909, 104, 6, 907, 227, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[6, 158, 542, 563, 171, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
i will start dinner at,okay i think i will be awake by then,"['i', 'will', 'start', 'dinner', 'at']","['okay', 'i', 'think', 'i', 'will', 'be', 'awake', 'by', 'then']","[6, 158, 542, 563, 171]","[36, 6, 75, 6, 158, 83, 910, 470, 186]","[6, 158, 542, 563, 171, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[36, 6, 75, 6, 158, 83, 910, 470, 186, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
okay i think i will be awake by then,if not your nose will wake you up,"['okay', 'i', 'think', 'i', 'will', 'be', 'awake', 'by', 'then']","['if', 'not', 'your', 'nose', 'will', 'wake', 'you', 'up']","[36, 6, 75, 6, 158, 83, 910, 470, 186]","[92, 53, 247, 571, 158, 907, 4, 227]","[36, 6, 75, 6, 158, 83, 910, 470, 186, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[92, 53, 247, 571, 158, 907, 4, 227, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
if not your nose will wake you up,you mean i will smell the food cooking,"['if', 'not', 'your', 'nose', 'will', 'wake', 'you', 'up']","['you', 'mean', 'i', 'will', 'smell', 'the', 'food', 'cooking']","[92, 53, 247, 571, 158, 907, 4, 227]","[4, 130, 6, 158, 147, 78, 712, 911]","[92, 53, 247, 571, 158, 907, 4, 227, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[4, 130, 6, 158, 147, 78, 712, 911, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
you mean i will smell the food cooking,you might even dream about dinner,"['you', 'mean', 'i', 'will', 'smell', 'the', 'food', 'cooking']","['you', 'might', 'even', 'dream', 'about', 'dinner']","[4, 130, 6, 158, 147, 78, 712, 911]","[4, 283, 268, 912, 9, 563]","[4, 130, 6, 158, 147, 78, 712, 911, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[4, 283, 268, 912, 9, 563, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
you might even dream about dinner,i do not think i am going to dream about anything i am really tired,"['you', 'might', 'even', 'dream', 'about', 'dinner']","['i', 'do', 'not', 'think', 'i', 'am', 'going', 'to', 'dream', 'about', 'anything', 'i', 'am', 'really', 'tired']","[4, 283, 268, 912, 9, 563]","[6, 27, 53, 75, 6, 7, 43, 29, 912, 9, 302, 6, 7, 38, 913]","[4, 283, 268, 912, 9, 563, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[6, 27, 53, 75, 6, 7, 43, 29, 912, 9, 302, 6, 7, 38, 913, 0, 0, 0, 0, 0]"
i do not think i am going to dream about anything i am really tired,have a nice nap,"['i', 'do', 'not', 'think', 'i', 'am', 'going', 'to', 'dream', 'about', 'anything', 'i', 'am', 'really', 'tired']","['have', 'a', 'nice', 'nap']","[6, 27, 53, 75, 6, 7, 43, 29, 912, 9, 302, 6, 7, 38, 913]","[19, 37, 115, 904]","[6, 27, 53, 75, 6, 7, 43, 29, 912, 9, 302, 6, 7, 38, 913, 0, 0, 0, 0, 0]","[19, 37, 115, 904, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
that was a nice funeral,yes dad it was,"['that', 'wa', 'a', 'nice', 'funeral']","['yes', 'dad', 'it', 'wa']","[58, 95, 37, 115, 914]","[97, 915, 33, 95]","[58, 95, 37, 115, 914, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[97, 915, 33, 95, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
yes dad it was,the son gave a nice speech about his father,"['yes', 'dad', 'it', 'wa']","['the', 'son', 'gave', 'a', 'nice', 'speech', 'about', 'his', 'father']","[97, 915, 33, 95]","[78, 916, 541, 37, 115, 917, 9, 805, 821]","[97, 915, 33, 95, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[78, 916, 541, 37, 115, 917, 9, 805, 821, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
the son gave a nice speech about his father,it was long too,"['the', 'son', 'gave', 'a', 'nice', 'speech', 'about', 'his', 'father']","['it', 'wa', 'long', 'too']","[78, 916, 541, 37, 115, 917, 9, 805, 821]","[33, 95, 386, 101]","[78, 916, 541, 37, 115, 917, 9, 805, 821, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[33, 95, 386, 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
it was long too,i think it was about minutes long,"['it', 'wa', 'long', 'too']","['i', 'think', 'it', 'wa', 'about', 'minute', 'long']","[33, 95, 386, 101]","[6, 75, 33, 95, 9, 185, 386]","[33, 95, 386, 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[6, 75, 33, 95, 9, 185, 386, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
i think it was about minutes long,but it went by fast it was interesting,"['i', 'think', 'it', 'wa', 'about', 'minute', 'long']","['but', 'it', 'went', 'by', 'fast', 'it', 'wa', 'interesting']","[6, 75, 33, 95, 9, 185, 386]","[106, 33, 366, 470, 579, 33, 95, 642]","[6, 75, 33, 95, 9, 185, 386, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[106, 33, 366, 470, 579, 33, 95, 642, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
but it went by fast it was interesting,i liked it,"['but', 'it', 'went', 'by', 'fast', 'it', 'wa', 'interesting']","['i', 'liked', 'it']","[106, 33, 366, 470, 579, 33, 95, 642]","[6, 382, 33]","[106, 33, 366, 470, 579, 33, 95, 642, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[6, 382, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
i liked it,i will give you a speech like that too,"['i', 'liked', 'it']","['i', 'will', 'give', 'you', 'a', 'speech', 'like', 'that', 'too']","[6, 382, 33]","[6, 158, 497, 4, 37, 917, 32, 58, 101]","[6, 382, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[6, 158, 497, 4, 37, 917, 32, 58, 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
i will give you a speech like that too,do you think anyone will come to my funeral,"['i', 'will', 'give', 'you', 'a', 'speech', 'like', 'that', 'too']","['do', 'you', 'think', 'anyone', 'will', 'come', 'to', 'my', 'funeral']","[6, 158, 497, 4, 37, 917, 32, 58, 101]","[27, 4, 75, 503, 158, 127, 29, 69, 914]","[6, 158, 497, 4, 37, 917, 32, 58, 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[27, 4, 75, 503, 158, 127, 29, 69, 914, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
do you think anyone will come to my funeral,of course,"['do', 'you', 'think', 'anyone', 'will', 'come', 'to', 'my', 'funeral']","['of', 'course']","[27, 4, 75, 503, 158, 127, 29, 69, 914]","[56, 512]","[27, 4, 75, 503, 158, 127, 29, 69, 914, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[56, 512, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
of course,i think only the family will be there,"['of', 'course']","['i', 'think', 'only', 'the', 'family', 'will', 'be', 'there']","[56, 512]","[6, 75, 293, 78, 564, 158, 83, 34]","[56, 512, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[6, 75, 293, 78, 564, 158, 83, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
i think only the family will be there,you have lots of friends they will be there too,"['i', 'think', 'only', 'the', 'family', 'will', 'be', 'there']","['you', 'have', 'lot', 'of', 'friend', 'they', 'will', 'be', 'there', 'too']","[6, 75, 293, 78, 564, 158, 83, 34]","[4, 19, 55, 56, 474, 348, 158, 83, 34, 101]","[6, 75, 293, 78, 564, 158, 83, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[4, 19, 55, 56, 474, 348, 158, 83, 34, 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
yikes what was that noise,i had to blow my nose,"['yi', '##kes', 'what', 'wa', 'that', 'noise']","['i', 'had', 'to', 'blow', 'my', 'nose']","[918, 919, 22, 95, 58, 774]","[6, 244, 29, 920, 69, 571]","[918, 919, 22, 95, 58, 774, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[6, 244, 29, 920, 69, 571, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
i had to blow my nose,did you have to blow right next to the phone,"['i', 'had', 'to', 'blow', 'my', 'nose']","['did', 'you', 'have', 'to', 'blow', 'right', 'next', 'to', 'the', 'phone']","[6, 244, 29, 920, 69, 571]","[139, 4, 19, 29, 920, 25, 187, 29, 78, 243]","[6, 244, 29, 920, 69, 571, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[139, 4, 19, 29, 920, 25, 187, 29, 78, 243, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
did you have to blow right next to the phone,did you hear that,"['did', 'you', 'have', 'to', 'blow', 'right', 'next', 'to', 'the', 'phone']","['did', 'you', 'hear', 'that']","[139, 4, 19, 29, 920, 25, 187, 29, 78, 243]","[139, 4, 322, 58]","[139, 4, 19, 29, 920, 25, 187, 29, 78, 243, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[139, 4, 322, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
did you hear that,of course i heard that i thought a plane had crashed into your house,"['did', 'you', 'hear', 'that']","['of', 'course', 'i', 'heard', 'that', 'i', 'thought', 'a', 'plane', 'had', 'crashed', 'into', 'your', 'house']","[139, 4, 322, 58]","[56, 512, 6, 179, 58, 6, 504, 37, 921, 244, 883, 285, 247, 410]","[139, 4, 322, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[56, 512, 6, 179, 58, 6, 504, 37, 921, 244, 883, 285, 247, 410, 0, 0, 0, 0, 0, 0]"
of course i heard that i thought a plane had crashed into your house,it was not that loud,"['of', 'course', 'i', 'heard', 'that', 'i', 'thought', 'a', 'plane', 'had', 'crashed', 'into', 'your', 'house']","['it', 'wa', 'not', 'that', 'loud']","[56, 512, 6, 179, 58, 6, 504, 37, 921, 244, 883, 285, 247, 410]","[33, 95, 53, 58, 922]","[56, 512, 6, 179, 58, 6, 504, 37, 921, 244, 883, 285, 247, 410, 0, 0, 0, 0, 0, 0]","[33, 95, 53, 58, 922, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
it was not that loud,i will blow my nose sometime for you and you will see,"['it', 'wa', 'not', 'that', 'loud']","['i', 'will', 'blow', 'my', 'nose', 'sometime', 'for', 'you', 'and', 'you', 'will', 'see']","[33, 95, 53, 58, 922]","[6, 158, 920, 69, 571, 210, 14, 4, 94, 4, 158, 153]","[33, 95, 53, 58, 922, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[6, 158, 920, 69, 571, 210, 14, 4, 94, 4, 158, 153, 0, 0, 0, 0, 0, 0, 0, 0]"
i will blow my nose sometime for you and you will see,okay i will take your word for it,"['i', 'will', 'blow', 'my', 'nose', 'sometime', 'for', 'you', 'and', 'you', 'will', 'see']","['okay', 'i', 'will', 'take', 'your', 'word', 'for', 'it']","[6, 158, 920, 69, 571, 210, 14, 4, 94, 4, 158, 153]","[36, 6, 158, 196, 247, 923, 14, 33]","[6, 158, 920, 69, 571, 210, 14, 4, 94, 4, 158, 153, 0, 0, 0, 0, 0, 0, 0, 0]","[36, 6, 158, 196, 247, 923, 14, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
okay i will take your word for it,i thought you had an elephant in your house,"['okay', 'i', 'will', 'take', 'your', 'word', 'for', 'it']","['i', 'thought', 'you', 'had', 'an', 'elephant', 'in', 'your', 'house']","[36, 6, 158, 196, 247, 923, 14, 33]","[6, 504, 4, 244, 71, 924, 23, 247, 410]","[36, 6, 158, 196, 247, 923, 14, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[6, 504, 4, 244, 71, 924, 23, 247, 410, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
i thought you had an elephant in your house,you are funny,"['i', 'thought', 'you', 'had', 'an', 'elephant', 'in', 'your', 'house']","['you', 'are', 'funny']","[6, 504, 4, 244, 71, 924, 23, 247, 410]","[4, 3, 399]","[6, 504, 4, 244, 71, 924, 23, 247, 410, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[4, 3, 399, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
you are funny,what did you say i think i have gone deaf,"['you', 'are', 'funny']","['what', 'did', 'you', 'say', 'i', 'think', 'i', 'have', 'gone', 'deaf']","[4, 3, 399]","[22, 139, 4, 199, 6, 75, 6, 19, 496, 925]","[4, 3, 399, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[22, 139, 4, 199, 6, 75, 6, 19, 496, 925, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
what did you say i think i have gone deaf,i am going into the bathroom to blow my nose i will be right back,"['what', 'did', 'you', 'say', 'i', 'think', 'i', 'have', 'gone', 'deaf']","['i', 'am', 'going', 'into', 'the', 'bathroom', 'to', 'blow', 'my', 'nose', 'i', 'will', 'be', 'right', 'back']","[22, 139, 4, 199, 6, 75, 6, 19, 496, 925]","[6, 7, 43, 285, 78, 718, 29, 920, 69, 571, 6, 158, 83, 25, 376]","[22, 139, 4, 199, 6, 75, 6, 19, 496, 925, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[6, 7, 43, 285, 78, 718, 29, 920, 69, 571, 6, 158, 83, 25, 376, 0, 0, 0, 0, 0]"
i have lots of friends,really how many do you have,"['i', 'have', 'lot', 'of', 'friend']","['really', 'how', 'many', 'do', 'you', 'have']","[6, 19, 55, 56, 474]","[38, 2, 544, 27, 4, 19]","[6, 19, 55, 56, 474, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[38, 2, 544, 27, 4, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
really how many do you have,i do not know maybe one hundred,"['really', 'how', 'many', 'do', 'you', 'have']","['i', 'do', 'not', 'know', 'maybe', 'one', 'hundred']","[38, 2, 544, 27, 4, 19]","[6, 27, 53, 74, 235, 124, 255]","[38, 2, 544, 27, 4, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[6, 27, 53, 74, 235, 124, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
i do not know maybe one hundred,that is a lot of friends do you have a best friend,"['i', 'do', 'not', 'know', 'maybe', 'one', 'hundred']","['that', 'is', 'a', 'lot', 'of', 'friend', 'do', 'you', 'have', 'a', 'best', 'friend']","[6, 27, 53, 74, 235, 124, 255]","[58, 35, 37, 55, 56, 474, 27, 4, 19, 37, 418, 474]","[6, 27, 53, 74, 235, 124, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[58, 35, 37, 55, 56, 474, 27, 4, 19, 37, 418, 474, 0, 0, 0, 0, 0, 0, 0, 0]"
that is a lot of friends do you have a best friend,of course i have lots of best friends,"['that', 'is', 'a', 'lot', 'of', 'friend', 'do', 'you', 'have', 'a', 'best', 'friend']","['of', 'course', 'i', 'have', 'lot', 'of', 'best', 'friend']","[58, 35, 37, 55, 56, 474, 27, 4, 19, 37, 418, 474]","[56, 512, 6, 19, 55, 56, 418, 474]","[58, 35, 37, 55, 56, 474, 27, 4, 19, 37, 418, 474, 0, 0, 0, 0, 0, 0, 0, 0]","[56, 512, 6, 19, 55, 56, 418, 474, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
of course i have lots of best friends,how many best friends do you have,"['of', 'course', 'i', 'have', 'lot', 'of', 'best', 'friend']","['how', 'many', 'best', 'friend', 'do', 'you', 'have']","[56, 512, 6, 19, 55, 56, 418, 474]","[2, 544, 418, 474, 27, 4, 19]","[56, 512, 6, 19, 55, 56, 418, 474, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 544, 418, 474, 27, 4, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
how many best friends do you have,i think about twentyfive,"['how', 'many', 'best', 'friend', 'do', 'you', 'have']","['i', 'think', 'about', 'twenty', '##fi', '##ve']","[2, 544, 418, 474, 27, 4, 19]","[6, 75, 9, 926, 927, 928]","[2, 544, 418, 474, 27, 4, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[6, 75, 9, 926, 927, 928, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
i think about twentyfive,hmm i have only one best friend,"['i', 'think', 'about', 'twenty', '##fi', '##ve']","['hmm', 'i', 'have', 'only', 'one', 'best', 'friend']","[6, 75, 9, 926, 927, 928]","[929, 6, 19, 293, 124, 418, 474]","[6, 75, 9, 926, 927, 928, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[929, 6, 19, 293, 124, 418, 474, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
hmm i have only one best friend,i feel sorry for you,"['hmm', 'i', 'have', 'only', 'one', 'best', 'friend']","['i', 'feel', 'sorry', 'for', 'you']","[929, 6, 19, 293, 124, 418, 474]","[6, 125, 225, 14, 4]","[929, 6, 19, 293, 124, 418, 474, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[6, 125, 225, 14, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
i feel sorry for you,i have only a few friends,"['i', 'feel', 'sorry', 'for', 'you']","['i', 'have', 'only', 'a', 'few', 'friend']","[6, 125, 225, 14, 4]","[6, 19, 293, 37, 930, 474]","[6, 125, 225, 14, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[6, 19, 293, 37, 930, 474, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
i have only a few friends,you must be lonely i will share my friends with you,"['i', 'have', 'only', 'a', 'few', 'friend']","['you', 'must', 'be', 'lonely', 'i', 'will', 'share', 'my', 'friend', 'with', 'you']","[6, 19, 293, 37, 930, 474]","[4, 473, 83, 931, 6, 158, 932, 69, 474, 42, 4]","[6, 19, 293, 37, 930, 474, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[4, 473, 83, 931, 6, 158, 932, 69, 474, 42, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
you must be lonely i will share my friends with you,that is very nice of you,"['you', 'must', 'be', 'lonely', 'i', 'will', 'share', 'my', 'friend', 'with', 'you']","['that', 'is', 'very', 'nice', 'of', 'you']","[4, 473, 83, 931, 6, 158, 932, 69, 474, 42, 4]","[58, 35, 114, 115, 56, 4]","[4, 473, 83, 931, 6, 158, 932, 69, 474, 42, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[58, 35, 114, 115, 56, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
do not you ever cheat on me,why would i do that,"['do', 'not', 'you', 'ever', 'cheat', 'on', 'me']","['why', 'would', 'i', 'do', 'that']","[27, 53, 4, 398, 933, 200, 100]","[142, 82, 6, 27, 58]","[27, 53, 4, 398, 933, 200, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[142, 82, 6, 27, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
why would i do that,because men like to cheat,"['why', 'would', 'i', 'do', 'that']","['because', 'men', 'like', 'to', 'cheat']","[142, 82, 6, 27, 58]","[151, 934, 32, 29, 933]","[142, 82, 6, 27, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[151, 934, 32, 29, 933, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
because men like to cheat,some men do but not me,"['because', 'men', 'like', 'to', 'cheat']","['some', 'men', 'do', 'but', 'not', 'me']","[151, 934, 32, 29, 933]","[138, 934, 27, 106, 53, 100]","[151, 934, 32, 29, 933, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[138, 934, 27, 106, 53, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
some men do but not me,i am watching you,"['some', 'men', 'do', 'but', 'not', 'me']","['i', 'am', 'watching', 'you']","[138, 934, 27, 106, 53, 100]","[6, 7, 482, 4]","[138, 934, 27, 106, 53, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[6, 7, 482, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
i am watching you,i am an open book watch me all you want,"['i', 'am', 'watching', 'you']","['i', 'am', 'an', 'open', 'book', 'watch', 'me', 'all', 'you', 'want']","[6, 7, 482, 4]","[6, 7, 71, 728, 935, 411, 100, 224, 4, 126]","[6, 7, 482, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[6, 7, 71, 728, 935, 411, 100, 224, 4, 126, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
i am an open book watch me all you want,if i catch you you will be sorry,"['i', 'am', 'an', 'open', 'book', 'watch', 'me', 'all', 'you', 'want']","['if', 'i', 'catch', 'you', 'you', 'will', 'be', 'sorry']","[6, 7, 71, 728, 935, 411, 100, 224, 4, 126]","[92, 6, 483, 4, 4, 158, 83, 225]","[6, 7, 71, 728, 935, 411, 100, 224, 4, 126, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[92, 6, 483, 4, 4, 158, 83, 225, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
if i catch you you will be sorry,you will not catch me because i love you i am not a cheater,"['if', 'i', 'catch', 'you', 'you', 'will', 'be', 'sorry']","['you', 'will', 'not', 'catch', 'me', 'because', 'i', 'love', 'you', 'i', 'am', 'not', 'a', 'cheat', '##er']","[92, 6, 483, 4, 4, 158, 83, 225]","[4, 158, 53, 483, 100, 151, 6, 143, 4, 6, 7, 53, 37, 933, 854]","[92, 6, 483, 4, 4, 158, 83, 225, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[4, 158, 53, 483, 100, 151, 6, 143, 4, 6, 7, 53, 37, 933, 854, 0, 0, 0, 0, 0]"
you will not catch me because i love you i am not a cheater,i will poke your eyes out,"['you', 'will', 'not', 'catch', 'me', 'because', 'i', 'love', 'you', 'i', 'am', 'not', 'a', 'cheat', '##er']","['i', 'will', 'poke', 'your', 'eye', 'out']","[4, 158, 53, 483, 100, 151, 6, 143, 4, 6, 7, 53, 37, 933, 854]","[6, 158, 936, 247, 272, 165]","[4, 158, 53, 483, 100, 151, 6, 143, 4, 6, 7, 53, 37, 933, 854, 0, 0, 0, 0, 0]","[6, 158, 936, 247, 272, 165, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
